query_tweet_id,query_text,true_intent,retrieved_case_id,retrieved_customer_text,retrieved_support_text,similarity,retrieved_intent,failure_reason,failure_analysis
1063675,"@SpotifyCares Haha, thanks. Sorry to act like sour milk spilt on the floor. However, it is the Curation team's fault they forgot to close the refrigerator",other_non_actionable,case_06560,@SpotifyCares great customer care service!! thumbs up!!!!,"@246542 Hey Martin, thanks for the kind words! We've gone ahead and replied to your DM, let's continue chatting there /TB...",0.4024,other_non_actionable,cross_domain_lexical_overlap,"Query words overlap with unrelated domain (query intent: other_non_actionable, retrieved intent: other_non_actionable)."
1951411,@SpotifyCares Your tech support helped me to sign up with a username. You should know that “Ivan S” at your support is the BEST there is. 10/10 ⭐️⭐️⭐️⭐️⭐️,other_non_actionable,case_01933,@115888 you need to up your tech! We should be able to update our user name and email w/o having to open a new account!,"@145411 We hear you Chris! We’d love to see your vote, and hear your feedback on this idea: https://t.co/8Is2HkMbcb. In the meantime, just give us a s...",0.5181,account_and_login,cross_domain_lexical_overlap,"Query words overlap with unrelated domain (query intent: other_non_actionable, retrieved intent: account_and_login)."
1350250,@115888 what's tea? Why y'all always glitch when I play CTRL? I'm trying to give sis the streams she deserves.,playback_and_app_issues,case_03471,why can i not listen to new music @115888 whats the tea it's past midnight already,@178804 Hey there! They should come up within the day. We'd suggest logging out then back in to refresh the app. Keep us posted /AR...,0.4512,playback_and_app_issues,cross_domain_lexical_overlap,"Query words overlap with unrelated domain (query intent: playback_and_app_issues, retrieved intent: playback_and_app_issues)."
654648,"@115888 Who stole ""The Crown"" from Capture The Crown?! In all seriousness though, they don't go by just ""Capture"" Fix that please. There's actually a lot of mistakes like this and I'd be willing to help correct them. What's the easiest way of helping out?",content_metadata,case_25761,who tf deleted take the crown y'all at @SpotifyCares I'm about to throw these hands 💀🗣 https://t.co/SYFvflusKZ,@584373 Hi! We've sent a reply to your DM. Let's carry on chatting there /LP...,0.4394,other_non_actionable,minority_intent_sparse_historical_coverage,True intent 'content_metadata' has relatively few matching cases in the historical dataset.
1648944,@SpotifyCares 2012 https://t.co/bBdSEbQ6yQ,other_non_actionable,case_18821,"Hi @115888, what year is it https://t.co/IXdwg9Uf1T","@484499 Hi there! Just to check, are you wanting to know what year this track was released? /GK...",0.4829,playback_and_app_issues,ambiguous_short_query,Query has only 3 words; sparse semantic cues cause vector drift.
2363267,@SpotifyCares Let’s hope they use ethics and decency too then. Thanks.,other_non_actionable,case_33404,@SpotifyCares Thank you. Here is my argued (and respectful :/) position about this: https://t.co/7aXMWDI7oF,"@705062 We hear you loud and clear! We can’t make any promises, but we’ll pass your feedback onto the right folks /MA...",0.3628,other_non_actionable,cross_domain_lexical_overlap,"Query words overlap with unrelated domain (query intent: other_non_actionable, retrieved intent: other_non_actionable)."
2055234,@SpotifyCares Would be great lol,feature_requests,case_38971,@SpotifyCares Sounds good.,"@152980 That's great to hear. In that case, can you DM us so we can look into this some more? /DV...",0.4746,other_non_actionable,ambiguous_short_query,Query has only 5 words; sparse semantic cues cause vector drift.
2141769,"@SpotifyCares I'm actually fine thanks. Appreciate your concern. Guess it wasn't a robot after all, makes me warm inside. Please play some demo tapes of the band Cows from Seattle for me. It would make my day. And don't forget to brush your teeth, my dentist keep telling me. Take care, love /J",other_non_actionable,case_28709,@SpotifyCares Hey @SpotifyCares Please calibrate your robot. It doesn't fucking understand a fuck what I'm saying. Thanks.,"@629779 Sorry to hear this. Don't worry, we'll be sure to pass your feedback on to the right folks. Let us know if you need any further help /CH...",0.4259,playback_and_app_issues,cross_domain_lexical_overlap,"Query words overlap with unrelated domain (query intent: other_non_actionable, retrieved intent: playback_and_app_issues)."
318693,@SpotifyCares Hi! It has been rectified! Very impressed with the support team! Thank you,other_non_actionable,case_18281,@spotifyCares is awesome; took care of our issue and issued us a refund! #GoodCustomerService,"@472546 No worries, helping out is our… https://t.co/Pbx4rbMWM5 😉 /JX...",0.5669,feature_requests,cross_domain_lexical_overlap,"Query words overlap with unrelated domain (query intent: other_non_actionable, retrieved intent: feature_requests)."
2045157,@115888 @SpotifyCares what about the starvation of ideas and enhancement suggestions from years ago?,feature_requests,case_21254,@SpotifyCares but if the idea was introduced in 2012 and were still waiting how soon is “soon”? https://t.co/35KsppzX3I,"@535942 Don't worry, our team is always on the watch for new ideas from our Community's ideas board. Hopefully we'll have it implemented soon 🙂 /AC...",0.4616,premium_and_subscription,cross_domain_lexical_overlap,"Query words overlap with unrelated domain (query intent: feature_requests, retrieved intent: premium_and_subscription)."
816277,"Highly considering going back to @115888 but I have some beef to sort out with them, first. :/",other_non_actionable,case_22049,Seriously @SpotifyCares when are you sorting out getting @29334 back?? Lets get it sorted!!,"@545154 Hi! Can you let us know the title of the track or album that you're looking for? Also, what country is your account set to? /AK...",0.4084,premium_and_subscription,cross_domain_lexical_overlap,"Query words overlap with unrelated domain (query intent: other_non_actionable, retrieved intent: premium_and_subscription)."
2586490,@SpotifyCares Our label has already emailed about this problem last week and hasn't gotten a response,other_non_actionable,case_13187,@SpotifyCares That helps to do but the problem seems to come back every couple of days.,@371846 Thanks for clearing that up. Best thing to try here is a clean reinstall. Just follow the exact steps at https://t.co/EqisDMwZAT /RK...,0.534,billing_and_payment,cross_domain_lexical_overlap,"Query words overlap with unrelated domain (query intent: other_non_actionable, retrieved intent: billing_and_payment)."
