tweet_id,customer_text,predicted_intent,generated_reply,retrieved_evidence,evidence_similarity,escalation_decision,relevance,groundedness,helpfulness,completeness,safety,overall,hallucination_flag,notes
2629104,Anyone know if there's a way to see on @115888 the exact date an album was released? All I can find is the year.,content_metadata,Hey there! We'd be happy to look into this for you. Can you let us know what device and Spotify version you're using? Feel free to send us a DM if you'd prefer to share account details privately.,"case_13313,case_24771",0.7185,auto_handle,,,,,,,,
1481446,FIX IT FIX IT @115888  😭😭💔💔 https://t.co/uhUG18a5y1,playback_and_app_issues,Hey there! We'd be happy to look into this for you. Can you let us know what device and Spotify version you're using? Feel free to send us a DM if you'd prefer to share account details privately.,"case_11531,case_35968",0.83,auto_handle,,,,,,,,
1408944,"@SpotifyCares spotify: Get spotify premium!
Also spotify: OOPS! YOUR CARD PROVIDER MAY HAVE A BAD DAY, TRY AGAIN LATER",billing_and_payment,Hey there! We'd be happy to look into this for you. Can you let us know what device and Spotify version you're using? Feel free to send us a DM if you'd prefer to share account details privately.,"case_06227,case_08206",0.8139,auto_handle,,,,,,,,
374589,@SpotifyCares Premium. How do I upgrade to a Petty Premium that only plays Tom Petty? I don’t need any additional music (except maybe traveling Wilburys),feature_requests,"Hi! That definitely doesn't sound right. Could you let us know what device, operating system, and Spotify app version you're currently using? We'll see what troubleshooting steps we can recommend.","case_33864,case_11779",0.6078,auto_handle,,,,,,,,
1074212,@SpotifyCares 2nd times this week... Downloaded playlist disappears...,playlist_and_library,"Hi! That definitely doesn't sound right. Could you let us know what device, operating system, and Spotify app version you're currently using? We'll see what troubleshooting steps we can recommend.","case_11258,case_02061",0.8229,auto_handle,,,,,,,,
1989806,@115888 Please bring Spotify to India. I need a good streaming platform and a good platform to upload my music too. Please. ❤️,other_non_actionable,Hey there! We'd be happy to look into this for you. Can you let us know what device and Spotify version you're using? Feel free to send us a DM if you'd prefer to share account details privately.,"case_03708,case_37315",0.8255,escalate,,,,,,,,
1241244,@SpotifyCares Yes. I did. It was an ad for UNH,ads_and_privacy,Hey there! We'd be happy to look into this for you. Can you let us know what device and Spotify version you're using? Feel free to send us a DM if you'd prefer to share account details privately.,"case_04028,case_34011",0.6496,auto_handle,,,,,,,,
2809524,@SpotifyCares Student hulu plan just deauthorized and I cannot get it fixed.... please help!,premium_and_subscription,Hey there! We'd be happy to look into this for you. Can you let us know what device and Spotify version you're using? Feel free to send us a DM if you'd prefer to share account details privately.,"case_20812,case_06929",0.8441,auto_handle,,,,,,,,
1815689,An idea: @115888 takes my most played playlist and makes an acoustic version of it so you can play the songs you like acoustically when you need that kind of vibe,feature_requests,"Hi! That definitely doesn't sound right. Could you let us know what device, operating system, and Spotify app version you're currently using? We'll see what troubleshooting steps we can recommend.","case_20744,case_39328",0.6923,auto_handle,,,,,,,,
2854391,@SpotifyCares my account email is  __email__ but according to the password reset it don't exist,account_and_login,"Hey! Help is here. If you're having trouble accessing your account, please send us a DM with the email address linked to your Spotify account so we can help you regain access securely.","case_02142,case_26290",0.7842,escalate,,,,,,,,
1828726,Idk what technology @115888 uses when you put your playlist on shuffle but I can tell you 45% of the time my music does not shuffle 😑😐😐,playback_and_app_issues,"Hi! That definitely doesn't sound right. Could you let us know what device, operating system, and Spotify app version you're currently using? We'll see what troubleshooting steps we can recommend.","case_15519,case_30335",0.7993,auto_handle,,,,,,,,
2720922,@SpotifyCares Hi.Sorry to bother you but you  currently have the wrong version of Body Electric on the Body Electric 4 track Single by The Sisters Of Mercy.It should be the '84 re-recording from the '84 https://t.co/Xce5DdZTSI have the '82 version.,content_metadata,Hey there! Thanks for reaching out. Let us know how we can help you out today!,"case_17058,case_21605",0.5304,auto_handle,,,,,,,,
1755591,Is there a way of finding out upcoming Friday release albums on @116130 @115888 @SpotifyCares @38265 ? https://t.co/8k2RRu0jDj,search_and_discovery,Hey there! We'd be happy to look into this for you. Can you let us know what device and Spotify version you're using? Feel free to send us a DM if you'd prefer to share account details privately.,"case_14638,case_27022",0.721,auto_handle,,,,,,,,
2912468,@SpotifyCares account was hacked and resolved but all my playlists are gone.,playlist_and_library,"Hi! That definitely doesn't sound right. Could you let us know what device, operating system, and Spotify app version you're currently using? We'll see what troubleshooting steps we can recommend.","case_37856,case_14906",0.8981,auto_handle,,,,,,,,
772043,@SpotifyCares Did spotify crash? Hasn't worked all day.,billing_and_payment,"Hi! That definitely doesn't sound right. Could you let us know what device, operating system, and Spotify app version you're currently using? We'll see what troubleshooting steps we can recommend.","case_05447,case_04339",0.8313,auto_handle,,,,,,,,
48123,@SpotifyCares I think it works on faster speeds? Idk the search bar has been kind of wonky lately,search_and_discovery,Hey there! Thanks for reaching out. Let us know how we can help you out today!,"case_00700,case_15199",0.5869,auto_handle,,,,,,,,
2600973,@SpotifyCares @736218 I need this too @SpotifyCares !,other_non_actionable,Hey there! Thanks for reaching out. Let us know how we can help you out today!,"case_13477,case_07868",0.6048,escalate,,,,,,,,
1879422,Hello @115888 I am a paying premium user and do not expect neither want to see a waze popup every time I drive my car.,ads_and_privacy,Hey there! Thanks for reaching out. Let us know how we can help you out today!,"case_02451,case_29666",0.6761,auto_handle,,,,,,,,
