tweet_id,text,intent,notes
1755591,Is there a way of finding out upcoming Friday release albums on @116130 @115888 @SpotifyCares @38265 ? https://t.co/8k2RRu0jDj,search_and_discovery,Finding upcoming releases
1063675,"@SpotifyCares Haha, thanks. Sorry to act like sour milk spilt on the floor. However, it is the Curation team's fault they forgot to close the refrigerator",other_non_actionable,Feedback/acknowledgement
388594,@SpotifyCares Spotify premium! It's on my smartphone using the App (iphone 6s),other_non_actionable,Provides account/device context without a request
590159,@115888 Actually i tried but failed because apparently i have used it before. That's okay but the problem is you still charged me (using credit card). 😕,billing_and_payment,Charged after failed offer
141198,"@SpotifyCares It's a bad confirmation. So I cannot share Spotify with my HiFi because of.. what? Was a service, now not. Tell me how from Iphone I can share spotify music.",playback_and_app_issues,Spotify connection/sharing to HiFi
664252,@SpotifyCares Help! I made an account with an old email address (from work) that I can’t access and now have forgotten my login password.,account_and_login,Forgot password and cannot access old email
586361,@115888 you need to bring back RBD’S albums fr ☹️,music_availability,Missing RBD albums
2394374,@SpotifyCares And the article posted above I looked at prior to tweeting.,other_non_actionable,No actionable request
1677487,@SpotifyCares Sure,other_non_actionable,Acknowledgement
2446506,@SpotifyCares any update to the previous tweet?  Still it fixed... https://t.co/zdvtAd6H7d,playback_and_app_issues,Previous technical issue still unresolved
1464487,@SpotifyCares Spotify deleted my mom and brother from my family account.,premium_and_subscription,
206564,@SpotifyCares Spotify version: 1.0.64.399.g4637b02a,other_non_actionable,
1879422,Hello @115888 I am a paying premium user and do not expect neither want to see a waze popup every time I drive my car.,ads_and_privacy,
1848989,@SpotifyCares On an iPhone 6s,other_non_actionable,
1724998,"@SpotifyCares Am an exchange student in New Zealand but come from Denmark, so can't but premium here because the credit card is Danish. Help",billing_and_payment,
326805,@148611 https://t.co/El3oO3wwWi,other_non_actionable,
1921613,@SpotifyCares why isn’t my visa gift card working when there’s money on the card? Your site said it’s an accepted method of payment,billing_and_payment,
1412311,"@SpotifyCares I got a new Phone, and now the app says I am aboard and can't log in anymore while I have never left the US. Please help!",account_and_login,
1951411,@SpotifyCares Your tech support helped me to sign up with a username. You should know that “Ivan S” at your support is the BEST there is. 10/10 ⭐️⭐️⭐️⭐️⭐️,other_non_actionable,
1930103,"@115888 I signed up for 30 free days, opened app, says welcome to your 7 day free trial? Is it 30 or 7?? Confused!",premium_and_subscription,
2972078,@SpotifyCares Yeah actually that was the last thing I just tried. It's been like this for a few weeks.,playback_and_app_issues,
416825,Does anyone else's @115888 randomly play songs at warp speed or is it just me,playback_and_app_issues,
2545282,"@SpotifyCares I'm pretty sure the project ""Here Be Dragons"" by the Kilimanjaro Darkjazz Ensemble got messed up over a month ago and it still hasn't been fixed. The tracks under that project in Spotify aren't actually the same tracks. https://t.co/twBIz82Igy",content_metadata,
2898311,@SpotifyCares I hate my daily mix two and where the fucks the option for CLEAN MUSIC @115888,feature_requests,
2848293,.@SpotifyCares am I dumb or do you have a feature where you can see your recently played songs? I know there’s a feature for albums? But SONGS?,feature_requests,
1350250,@115888 what's tea? Why y'all always glitch when I play CTRL? I'm trying to give sis the streams she deserves.,playback_and_app_issues,
776162,"@SpotifyCares Used CDBaby to distribute with you.They say it's been delivered to you, but it's not up on our artist page yet. Any ideas? Release date 2day",music_availability,
1557073,@SpotifyCares Alright thank you,other_non_actionable,
1935995,@SpotifyCares it happened again and i feel like i paid attention to all the steps,playback_and_app_issues,
2740927,@SpotifyCares I am following the instructions and it is not working. Please send me a DM so we can fix this issue,playback_and_app_issues,
1545840,"@SpotifyCares thanks to you, as expected from spotify support 👍🏻
I hope it is resolved soon",other_non_actionable,
1933316,this song isnt on spotify and nobody will give me a straight answer as to why https://t.co/IH5k93Lkmy,music_availability,
588859,@SpotifyCares @259179 Will there be a fix that automatically cleans up the mess you caused? I am not willing to make any changes manually. It's your task to release a fix.,playlist_and_library,
1241244,@SpotifyCares Yes. I did. It was an ad for UNH,ads_and_privacy,
598533,"@117153 
I paid to spotify to belong to primiun but in spite of that it keeps coming out that I am free and besides that they made the payment to my credit card, I would like to know why and what solution there is",billing_and_payment,
55237,"@115888 why did you take away the full date in the album info?  You added it in there, and now you're taking it away! I need that date!",content_metadata,
2715270,@117168 I pay y'all $10.81 every month but y'all still won't lemme download one individual song smh like I don't want that entire album https://t.co/eEbzfNvdFN,premium_and_subscription,
2572197,why The suburbs by @10789 is not available in @115888  :( ?,music_availability,
2046567,"Alright,  @115888. I've never wronged you before and you go and remove all my saved music.  We shaky af right now.",playlist_and_library,
501006,@SpotifyCares  https://t.co/d1bRMjtWJN,other_non_actionable,
544566,@115888 @117168 @SpotifyCares @117153 can we get an update with a sleep timer function? Where we can set it so music will stop playing and not run all night???,feature_requests,
1074212,@SpotifyCares 2nd times this week... Downloaded playlist disappears...,playlist_and_library,
330236,"@115888 As a former Groove Music sub, how do I get the 60 days premium? Everything from Groove came over to Spotify. Only see 30 day trial.",premium_and_subscription,
963320,@SpotifyCares I’m trying to remove someone from my family plan but it won’t show who’s attributed to the accounts even when clicking on it. https://t.co/sI3VvmBUco,premium_and_subscription,
2039321,@SpotifyCares I signed up to premium with my mobile number but thought it didn't go through so signed up with card. How do I resolve this?,premium_and_subscription,
1779134,"@SpotifyCares dms, I’m furious",other_non_actionable,
964110,@115888 is it down? It keeps saying service not available on my desktop #help,playback_and_app_issues,
654648,"@115888 Who stole ""The Crown"" from Capture The Crown?! In all seriousness though, they don't go by just ""Capture"" Fix that please. There's actually a lot of mistakes like this and I'd be willing to help correct them. What's the easiest way of helping out?",content_metadata,
223062,@115888 Do I have to search the original email???,account_and_login,
1203971,@SpotifyCares thank u i love u,other_non_actionable,
1648944,@SpotifyCares 2012 https://t.co/bBdSEbQ6yQ,other_non_actionable,
328661,@SpotifyCares Low power mode is working for now. Will do a complete device reset after I can it up and reach back out.,other_non_actionable,
93911,@115888 Mentioned at first 9 pesos then after a while became 128 pesos then I tried to load my phone 130 pesos then suddenly contact customer service.,billing_and_payment,
572057,"@115888 hey i need to cancel my account nut cant remember any of my passwords name is Millie Gorry in New Zealand , can you please sort and cancel thanks",account_and_login,
1737247,@148611 @SpotifyCares i just bought my spotify premium through dragonpay. its almost a day but i am still on spotify free.,billing_and_payment,
2203749,@SpotifyCares Sent you a DM,other_non_actionable,
510513,"@SpotifyCares Of course not, I just found I have got 2 accounts. I still love you ❤",other_non_actionable,
773112,@118266 pembayaran premium pelajar cuma bisa kartu kredit atau nanti bisa via lain?,premium_and_subscription,
772043,@SpotifyCares Did spotify crash? Hasn't worked all day.,playback_and_app_issues,
821811,@SpotifyCares I tried to change my subscription back to to a student and it said that it couldn't verify me as a student. What can I do?,premium_and_subscription,
311705,@115888 your share feature isn't working for me 😭,playback_and_app_issues,
1896966,@SpotifyCares URGENT answer my DM,other_non_actionable,
1858773,@115888 any way I can get a backup/list of everything I have downloaded/followed? All my music has been wiped twice now🙃,playlist_and_library,
1471757,Still can't share songs @SpotifyCares. Getting a bit ridiculous now.,playback_and_app_issues,
609650,@SpotifyCares I have not but I’m about to! Thanks!,other_non_actionable,
