tweet_id,text
1509474,@116130 is there any way how to import playlists from iTunes into spotify? Importing via File =&gt; import playlists is doing nothing :(
2308417,"The iOS @115888 app is the worst, just gonna go back to Amazon Music"
466046,"@SpotifyCares Millions of people wake up to alarm clocks on their phones everyday. So why not have them wake up to their favorite tune? Pandora, Apple Music have it so I think it's time we get on it too!"
2754895,@SpotifyCares why can I not update my payment information due to card number change?
852684,"When @115888 update stuff on their system, wipe your profile wacking some randoms songs on there and all yer stuffs missing 😣 #nothelpful"
2580721,@SpotifyCares do you still have a driving mode?
857988,@SpotifyCares Thanks yeah it comes up with a blue strip that says 'This song is not available. If you have the file on your computer you can import it.'
1921435,@SpotifyCares Any idea when you guys can get his mixtapes?
2964664,feature request for @115888: block christmas music. call me a scrooge all you want but this noise is trash and it’s not even december.
2497016,why isn't golden on spotify i'm tired of hearing it on youtube
292965,@SpotifyCares Thank you!
115315,@115888 I’ve reached out several times about being charged $9.99 instead of getting my college discount. It’s been almost three months and I haven’t had a response... can someone help?
1821106,"@SpotifyCares Lenovo Thinkpad, Windows 10, Spotify version 1.0.65.320.gac7a8e02"
1127617,I wanted to play @3212's new song but Spotify app won't let me and I'm super annoyed lol
2289758,@115888 internal search is really weak e.g can’t search lyrics too arbitrary
1460702,@SpotifyCares I have already applied for an internship in Boston.  I am just curious if I can do volunteer programming to show support @SpotifyCares
2337265,@SpotifyCares YES MAKE IT HAPPEN 👏🏽👏🏽👏🏽
1785813,@SpotifyCares  Why are none of @33680's songs playing on spotify. Only music that features Aldean is playing.
1906054,"@SpotifyCares hi, I paid for my premium account yesterday, but it still says spotify is offline at the moment."
2721864,@117168 Any plans for an official Mel Tillis RIP Playlist?
2813973,@SpotifyCares everything ok thank you
1097489,@115888 how do we get the clean versions of our music...? https://t.co/y4tDyO88PO
1517689,I don't get why @115888 can't have a Jamaica Top 50 or a Trinidad Top 50. They have a Singapore Top 50 and that's a city.
55247,@SpotifyCares Will check and let you know. Thanks :)
1832633,"@SpotifyCares My phone is a Huawei P8 with 5.0.1 Android version.
Spotify 8.4.23.784
Thanks."
2877418,I got charged for student premium check my account and subscription is still free @SpotifyCares @115888
1371861,Hey @115888 get your shit together I'm missing out on episode 1 of @439305 over here
226784,"@SpotifyCares Should also point out that https://t.co/0VsQUdEztq connects fine and all other sites are coming up fine, just https://t.co/MBkDfYl2Xy isn't."
1222453,@SpotifyCares my account has been hacked and the email has been changed. Can you help me quickly?
1877357,@SpotifyCares We should get phone notifications for new releases from bands we follow
1587579,@453754 @116130 @SpotifyCares You’d think the big boys like Spotify would’ve been ready for the release
1910750,@SpotifyCares Sure!
819593,credit where credit's due - @SpotifyCares did respond! https://t.co/U2D6DGaN6P
2964652,Why it’s not on @115888 the new @118062 album #reputation? 👎🏻
1884733,@SpotifyCares no help in 3 weeks! Could I get real customer service?? This isn’t right .
572088,"@115888 Just tapped your popup for the 1 year $99 thing, redirected to a page as to why I should get it, but no where to purchase. A+ design"
2917820,"@SpotifyCares Both on the android app. I've upgraded apps, upgraded phones. I've avoided using battery saving mode, I did everything you guys respond with but it's a faulty app idk what to say"
1459962,"@458873 @115888 Hmm. 🤔 The song is still there when I search and plays fine, but not listed as part of the album (as it’s been every time before). https://t.co/cH5b4NcpOQ"
2283760,@SpotifyCares Thanks for your reply
2218784,"@SpotifyCares This is an Ad, has nothing to do with the version of Spotify Im using :)"
1613867,"@SpotifyCares Is it true that I have to remove downloaded songs one by one, or remove all of them at once by deleting and reinstalling the app?"
2047617,"@SpotifyCares 8.4.23.784 armV7
I'm going to try again with android 'battery optimization' disabled for spotify."
2596622,"@SpotifyCares No, it still isn’t listed."
522723,"Hey @115888 you missed a song on a blink 182 sound track, what went wrong is not on it! @240745 make them add it please."
2337400,@115888 Why is your desktop app so shitty? It won't load artists or songs or playlists or anything. Its a useless piece of garbage. plz fix
1825334,@115888 pls stop putting covers on my discovery weekly playlist it is NOT helping me discover things weekly
496147,@233346 @115888 It's working on the web player at the moment. I'll just use this until I can troubleshoot with the app. I never think of using the web player to be honest.
2497533,@SpotifyCares my bank statement says that my payment went through but I still can't use Spotify premium features :(
2942705,spotify needs an option to block certain artists so you never have to hear them on random playlists @115888
2377287,"@SpotifyCares my sisters phone is very broken so I can’t get a screen shot of hers, but this is mine and her downloaded page is above podcasts and below artists https://t.co/ncW0VAfi90"
543134,@115888 why can’t I play “People are crazy” by @24784 ? I’m not mad. Just disappointed.
2707009,"@SpotifyCares Hey there, did you receive my DM? I really do need your help! 👀 thanks!!!"
149359,Dear @115888 I’d really appreciate if you will also release the #MicDropRemix without Desiigner. Kthanks.
671397,Where is the search options? @SpotifyCares https://t.co/MZ7FsOrZLD
967402,"@115888 Arghhh I’m having password problems... again! Tried the reset, no joy! Help; I need music!"
1275672,@SpotifyCares please check your DM
2823488,"@SpotifyCares @127637 Hello, I've got  a problem to join a Spotify family account, error message: ""600 - Oups ! Une erreur s'est produite. Réessayez plus tard."" Can you help me?"
1599862,Thank you people of @SpotifyCares
2095180,@SpotifyCares Is there at least some sort of timeframe of when it might get supported? The black bars are not very appealing for the gorgeous display of the iPhone X.
2414544,Pinapatulog na ako ng spotify. @SpotifyCares talaga. https://t.co/dU9I8WCpDA
804184,"@SpotifyCares I must have not re-signed up as a student for my account &amp; im wondering if I can be refunded for the charge, &amp; then re-charged"
79462,"@115888 Hang on a second, I’m paying £14.99 a month for family membership, been a subscriber for years..... where’s my ‘deal’?."
857,"@SpotifyCares Yes, multiple times. No changes. I am Premium User an when @115890  send us users to Spotify there should be a bugfree running App 🤨"
2536624,"@115888  is spotify programmed to turn on and start playing the same time everyday, because mine seems to do that"
662937,wondering why taylor didn't put rePUTAtion on spotify yet @118062 @115948 @117168
189933,"@115888 Will we be able to pay a little more to get no ads on Hulu, with this plan?"
2736565,"@SpotifyCares I am having trouble adding my wife to my Family account. Both of signed up using Facebook, but when we try logging in using the ""Log in using Facebook"" button, we get an error telling us that we do not have a Spotify account connected to our Facebook account. https://t.co/3cxjO9enSW"
2965842,@SpotifyCares I also Uninstalled and reinstalled the app this morning which didn't help
441996,"@SpotifyCares Thanks God, everything is ok, enjoying good music ;)
Just a random thought, usually I like to setup 2FA on all services I use."
