metric,value,category,description
total_indexed_cases,40794,Corpus,Total historical Spotify support cases indexed in FAISS
embedding_model,sentence-transformers/all-MiniLM-L6-v2,Model,384-dimensional dense semantic embedding model
index_type,faiss.IndexFlatIP,Index,Exhaustive inner product on L2-normalized vectors (exact cosine)
anti_leakage_overlap,0,Integrity,Overlap between golden test queries and index (0 required)
evaluated_queries,30,Evaluation,Number of golden evaluation queries evaluated
intent_hit_rate@1,0.5667,Automated,Fraction of queries with matching intent at rank 1
intent_hit_rate@3,0.8,Automated,Fraction of queries with >=1 matching intent in Top-3
intent_hit_rate@5,0.9,Automated,Fraction of queries with >=1 matching intent in Top-5 (Headline metric)
intent_consistency@1,0.5667,Automated,Fraction of Top-1 retrieved cases matching query golden intent
intent_consistency@3,0.5444,Automated,Mean fraction of Top-3 retrieved cases matching query golden intent
intent_consistency@5,0.5667,Automated,Mean fraction of Top-5 retrieved cases matching query golden intent
top1_similarity_mean,0.7273,Similarity,Mean cosine similarity of Top-1 retrieved case
top1_similarity_median,0.7025,Similarity,Median cosine similarity of Top-1 retrieved case
top1_similarity_min,0.4024,Similarity,Minimum Top-1 cosine similarity across evaluation set
top1_similarity_max,1.0,Similarity,Maximum Top-1 cosine similarity across evaluation set
top1_similarity_std,0.1406,Similarity,Standard deviation of Top-1 cosine similarity
mean_retrieval_latency_ms,20.28,Latency,Mean FAISS search latency per query in ms
median_retrieval_latency_ms,20.04,Latency,Median FAISS search latency per query in ms
p95_retrieval_latency_ms,22.19,Latency,95th percentile FAISS search latency per query in ms
manual_review_strict_precision@1,0.7143,Manual,Top-1 strict precision (directly relevant solution) on 35-query human review set
manual_review_strict_precision@3,0.6381,Manual,Top-3 strict precision (directly relevant solution) on 35-query human review set
manual_review_lenient_precision@1,1.0,Manual,Top-1 lenient precision (relevant or partially relevant) on human review set
manual_review_lenient_precision@3,1.0,Manual,Top-3 lenient precision (relevant or partially relevant) on human review set
manual_review_hit_rate@3,0.7143,Manual,Fraction of queries with >=1 relevant case in Top-3 on human review set
