archetype,archetype_description,query_tweet_id,query_text,rank,case_id,historical_customer_text,historical_support_text,similarity,historical_intent
archetype_1_strong_match,Strong semantic match: exact billing duplicate charge inquiry,115911,I was charged twice for Spotify Premium subscription this month. Can I get a refund?,1,case_16893,@115888 I was charged 3 times for Spotify premium and I still don’t have premium and it’s been a day and my money hasn’t been refunded,@440680 Hey there! Can you DM us your account's email address? We'll take a look /RB https://t.co/ldFdZRiNAt,0.8893,
archetype_1_strong_match,Strong semantic match: exact billing duplicate charge inquiry,115911,I was charged twice for Spotify Premium subscription this month. Can I get a refund?,2,case_20831,@SpotifyCares Can I get my money back if I was charged for spotify premium for the month yesterday?,@529319 Hey there! Can you DM us your account's username and email address? We'll take a look backstage /TF https://t.co/ldFdZRiNAt,0.8714,
archetype_1_strong_match,Strong semantic match: exact billing duplicate charge inquiry,115911,I was charged twice for Spotify Premium subscription this month. Can I get a refund?,3,case_36993,"@SpotifyCares I didn't realize that I was paying monthly for Spotify Premium as I thought I was a member of a family premium plan, but turns out I was paying for my own Premium for no reason for a year now and I just realized today. Is there anything I can do to get a refund?",@766707 Hey there! We've just sent a DM your way. Let's carry on chatting there /AK,0.8666,
archetype_1_strong_match,Strong semantic match: exact billing duplicate charge inquiry,115911,I was charged twice for Spotify Premium subscription this month. Can I get a refund?,4,case_40772,"@SpotifyCares I was charged the full Spotify premium fee but I was on Spotify student, if I resubscribe will I be refunded the extra cost?","@823464 Hey Jackie, help's here! We just replied to your DM, so let's carry on chatting there for your account's security 🙂 /RR",0.8481,
archetype_1_strong_match,Strong semantic match: exact billing duplicate charge inquiry,115911,I was charged twice for Spotify Premium subscription this month. Can I get a refund?,5,case_17193,@115888 hello spotify can i get a refund ? I paid for a one month membership but im not really satisfy i think its too expensive,@448997 Hey Frank! Can you DM us your account's email address or username? We'll check backstage /AR https://t.co/ldFdZRiNAt,0.8434,
archetype_2_lexical_diversity,Lexically different semantic match: colloquial description of background audio pausing bug,115866,songs keep stopping on my phone when screen turns off without me touching anything,1,case_36953,@SpotifyCares Still having issues with songs stopping after a few seconds of playing. This has been an issue for over a month on my android phone. Please advise!,"@472000 Hey Owen, that doesn't sound right! Can you let us know the device, Android, and Spotify version you're using? We'll see what we can suggest /JE",0.7394,
archetype_2_lexical_diversity,Lexically different semantic match: colloquial description of background audio pausing bug,115866,songs keep stopping on my phone when screen turns off without me touching anything,2,case_13003,Hey @SpotifyCares why do my songs interrupt when my phone screen is off/locked (Android v7.0),"@368156 Hey Emily! Don't worry, help's here. Just to check, can you let us know the phone model and Spotify version you're using? /MT",0.733,
archetype_2_lexical_diversity,Lexically different semantic match: colloquial description of background audio pausing bug,115866,songs keep stopping on my phone when screen turns off without me touching anything,3,case_14143,"My @115888 keeps on stop playing music every few songs, wth","@390103 Hey, help's here! Can you let us know your device, operating system, and Spotify version? We'll see what we can suggest /MG",0.7051,
archetype_2_lexical_diversity,Lexically different semantic match: colloquial description of background audio pausing bug,115866,songs keep stopping on my phone when screen turns off without me touching anything,4,case_25534,@SpotifyCares my music keeps stopping for no reason when i go off the app!,"@582399 Hey there! Do you happen to get any error messages when you go back to the app after leaving it? If so, a screenshot of it would help /AR",0.7037,
archetype_2_lexical_diversity,Lexically different semantic match: colloquial description of background audio pausing bug,115866,songs keep stopping on my phone when screen turns off without me touching anything,5,case_17842,@115888 my music stops playing once I leave the app. Any suggestions how I can fix that,"@464962 Hey there! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /RH",0.6916,
archetype_3_ambiguous_query,"Ambiguous query: customer expresses frustration without specifying feature, platform, or bug",115899,why does this app always do this every single time i use it,1,case_22440,@115888 why do I have to constantly restart my phone to get your app to work as intended?,"@116891 Hey! Can you let us know which operating system and Spotify version you're currently using? Also, is this happening over WiFi or 3G/4G? /NQ",0.6869,
archetype_3_ambiguous_query,"Ambiguous query: customer expresses frustration without specifying feature, platform, or bug",115899,why does this app always do this every single time i use it,2,case_33078,. @SpotifyCares why does this keep happening to me? My app/software are up to date 😣 https://t.co/B8r5pGxWEp,"@513598 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",0.6648,
archetype_3_ambiguous_query,"Ambiguous query: customer expresses frustration without specifying feature, platform, or bug",115899,why does this app always do this every single time i use it,3,case_24378,"@SpotifyCares Thanks, but I've seen this before.  I've uninstalled and reinstalled the app before, and this continues to happen. It's aggravating.",@569747 We understand. We'd suggest clicking/tapping on Remove all Devices at https://t.co/NopZTmevLc before reinstalling. Hope this helps /QI,0.6397,
archetype_3_ambiguous_query,"Ambiguous query: customer expresses frustration without specifying feature, platform, or bug",115899,why does this app always do this every single time i use it,4,case_12237,@115888 why is it doing this? https://t.co/89rfzfO5KN,"@352557 Hey, this doesn't look good. Can you let us know the Spotify version you're using? We'll see what we can suggest /NY",0.6368,
archetype_3_ambiguous_query,"Ambiguous query: customer expresses frustration without specifying feature, platform, or bug",115899,why does this app always do this every single time i use it,5,case_30013,What does @SpotifyCares only do this on my PS4? I've already deleted it and reinstalled and still does this only to this app. https://t.co/TqGWQhVhsC,@410546 Hi there! Try restarting the app by holding down the PlayStation button &amp; selecting Close Application. Does that help? Keep us posted /JI,0.6352,
archetype_4_poor_retrieval,Poor retrieval / boundary case: ultra-short conversational tweet lacking actionable intent,116099,hello??? @SpotifyCares,1,case_06688,"@SpotifyCares Hello??? 
https://t.co/jMp49ziaxU","@250127 Hey, sorry for the delay! Can you DM us your account's email address? We'll take a look backstage /RR https://t.co/ldFdZRiNAt",1.0,
archetype_4_poor_retrieval,Poor retrieval / boundary case: ultra-short conversational tweet lacking actionable intent,116099,hello??? @SpotifyCares,2,case_32280,@SpotifyCares @SpotifyCares um hello??,@682732 Hey there! Can you let us know how we can help you out exactly? We'll see what we can do /NS,0.9124,
archetype_4_poor_retrieval,Poor retrieval / boundary case: ultra-short conversational tweet lacking actionable intent,116099,hello??? @SpotifyCares,3,case_12118,@SpotifyCares Hello ?,@158590 Hi there! We've sent you some more info via DM. We'll carry on helping you there /MC,0.8828,
archetype_4_poor_retrieval,Poor retrieval / boundary case: ultra-short conversational tweet lacking actionable intent,116099,hello??? @SpotifyCares,4,case_12865,@SpotifyCares Hello? @SpotifyCares,@365624 Thanks for getting back to us. What's happening exactly? How can we help this time? /AR,0.8828,
archetype_4_poor_retrieval,Poor retrieval / boundary case: ultra-short conversational tweet lacking actionable intent,116099,hello??? @SpotifyCares,5,case_02903,@SpotifyCares Hello?,@162925 Hey! Sorry for the delay. We've just sent a DM your way. Let's carry on chatting there /PL,0.8828,
