model,intent,precision,recall,f1,support
majority_baseline,playback_and_app_issues,0.0,0.0,0.0,8
majority_baseline,search_and_discovery,0.0,0.0,0.0,1
majority_baseline,account_and_login,0.0,0.0,0.0,4
majority_baseline,billing_and_payment,0.0,0.0,0.0,5
majority_baseline,premium_and_subscription,0.0,0.0,0.0,5
majority_baseline,music_availability,0.0,0.0,0.0,3
majority_baseline,playlist_and_library,0.0,0.0,0.0,3
majority_baseline,feature_requests,0.0,0.0,0.0,6
majority_baseline,content_metadata,0.0,0.0,0.0,2
majority_baseline,ads_and_privacy,0.0,0.0,0.0,0
majority_baseline,other_non_actionable,0.26,1.0,0.4127,13
tfidf_logistic_regression,playback_and_app_issues,0.2857,0.25,0.2667,8
tfidf_logistic_regression,search_and_discovery,0.0,0.0,0.0,1
tfidf_logistic_regression,account_and_login,0.5,0.5,0.5,4
tfidf_logistic_regression,billing_and_payment,0.5,0.4,0.4444,5
tfidf_logistic_regression,premium_and_subscription,0.3333,0.6,0.4286,5
tfidf_logistic_regression,music_availability,0.0,0.0,0.0,3
tfidf_logistic_regression,playlist_and_library,0.3333,0.3333,0.3333,3
tfidf_logistic_regression,feature_requests,0.4286,0.5,0.4615,6
tfidf_logistic_regression,content_metadata,0.0,0.0,0.0,2
tfidf_logistic_regression,ads_and_privacy,0.0,0.0,0.0,0
tfidf_logistic_regression,other_non_actionable,0.6429,0.6923,0.6667,13
proposed_model,playback_and_app_issues,0.25,0.25,0.25,8
proposed_model,search_and_discovery,0.0,0.0,0.0,1
proposed_model,account_and_login,0.5,0.5,0.5,4
proposed_model,billing_and_payment,0.6667,0.4,0.5,5
proposed_model,premium_and_subscription,0.4286,0.6,0.5,5
proposed_model,music_availability,0.5,0.3333,0.4,3
proposed_model,playlist_and_library,0.3333,0.3333,0.3333,3
proposed_model,feature_requests,0.5,0.3333,0.4,6
proposed_model,content_metadata,0.5,0.5,0.5,2
proposed_model,ads_and_privacy,0.0,0.0,0.0,0
proposed_model,other_non_actionable,0.5625,0.6923,0.6207,13
