tweet_id,customer_text,predicted_intent,reply,evidence_ids,evidence_similarity,relevance_score,groundedness_score,helpfulness_score,completeness_score,safety_score,overall_score,pass_fail,hallucination_flag,evidence_use_flag,judge_rationale
1879422,Hello @115888 I am a paying premium user and do not expect neither want to see a waze popup every time I drive my car.,ads_and_privacy,Hey there! Thanks for reaching out. Let us know how we can help you out today!,"case_02451,case_29666",0.6761,3.0,4.0,3.5,4.0,5.0,3.9,PASS,False,True,"Evaluated with MockJudge: Relevance=3.0, Groundedness=4.0, TopSim=0.68. Reply provides safe, grounded assistance."
567985,Does @115888 have artist old mixtapes on it or just albums ?,music_availability,Hey there! We'd be happy to look into this for you. Can you let us know what device and Spotify version you're using? Feel free to send us a DM if you'd prefer to share account details privately.,"case_28216,case_14855",0.7177,3.0,4.5,3.5,4.5,5.0,4.1,PASS,False,True,"Evaluated with MockJudge: Relevance=3.0, Groundedness=4.5, TopSim=0.72. Reply provides safe, grounded assistance."
1858773,@115888 any way I can get a backup/list of everything I have downloaded/followed? All my music has been wiped twice now🙃,playlist_and_library,Hey there! Thanks for reaching out. Let us know how we can help you out today!,"case_18458,case_10763",0.6871,3.0,4.0,3.5,4.0,5.0,3.9,PASS,False,True,"Evaluated with MockJudge: Relevance=3.0, Groundedness=4.0, TopSim=0.69. Reply provides safe, grounded assistance."
2809524,@SpotifyCares Student hulu plan just deauthorized and I cannot get it fixed.... please help!,premium_and_subscription,Hey there! We'd be happy to look into this for you. Can you let us know what device and Spotify version you're using? Feel free to send us a DM if you'd prefer to share account details privately.,"case_20812,case_06929",0.8441,3.0,4.5,3.5,4.5,5.0,4.1,PASS,False,True,"Evaluated with MockJudge: Relevance=3.0, Groundedness=4.5, TopSim=0.84. Reply provides safe, grounded assistance."
2912468,@SpotifyCares account was hacked and resolved but all my playlists are gone.,playlist_and_library,"Hi! That definitely doesn't sound right. Could you let us know what device, operating system, and Spotify app version you're currently using? We'll see what troubleshooting steps we can recommend.","case_37856,case_14906",0.8981,3.0,4.5,4.5,4.5,5.0,4.3,PASS,False,True,"Evaluated with MockJudge: Relevance=3.0, Groundedness=4.5, TopSim=0.90. Reply provides safe, grounded assistance."
1650404,"@SpotifyCares I'm having trouble getting into my Spotify premium account under the name Ed Ledsham, username carrioncrow",account_and_login,"Hey! Help is here. If you're having trouble accessing your account, please send us a DM with the email address linked to your Spotify account so we can help you regain access securely.","case_01716,case_15799",0.7986,4.0,4.5,3.5,4.5,5.0,4.3,PASS,False,True,"Evaluated with MockJudge: Relevance=4.0, Groundedness=4.5, TopSim=0.80. Reply provides safe, grounded assistance."
456853,Reputation still not available on spotify ph,music_availability,Hey there! We'd be happy to look into this for you. Can you let us know what device and Spotify version you're using? Feel free to send us a DM if you'd prefer to share account details privately.,"case_31761,case_29753",0.9557,4.0,4.5,3.5,4.5,5.0,4.3,PASS,False,True,"Evaluated with MockJudge: Relevance=4.0, Groundedness=4.5, TopSim=0.96. Reply provides safe, grounded assistance."
2600973,@SpotifyCares @736218 I need this too @SpotifyCares !,other_non_actionable,Hey there! Thanks for reaching out. Let us know how we can help you out today!,"case_13477,case_07868",0.6048,3.0,4.0,3.5,4.0,5.0,3.9,PASS,False,True,"Evaluated with MockJudge: Relevance=3.0, Groundedness=4.0, TopSim=0.60. Reply provides safe, grounded assistance."
1989806,@115888 Please bring Spotify to India. I need a good streaming platform and a good platform to upload my music too. Please. ❤️,other_non_actionable,Hey there! We'd be happy to look into this for you. Can you let us know what device and Spotify version you're using? Feel free to send us a DM if you'd prefer to share account details privately.,"case_03708,case_37315",0.8255,3.0,4.5,3.5,4.5,5.0,4.1,PASS,False,True,"Evaluated with MockJudge: Relevance=3.0, Groundedness=4.5, TopSim=0.83. Reply provides safe, grounded assistance."
2854391,@SpotifyCares my account email is  __email__ but according to the password reset it don't exist,account_and_login,"Hey! Help is here. If you're having trouble accessing your account, please send us a DM with the email address linked to your Spotify account so we can help you regain access securely.","case_02142,case_26290",0.7842,4.0,4.5,3.5,4.5,5.0,4.3,PASS,False,True,"Evaluated with MockJudge: Relevance=4.0, Groundedness=4.5, TopSim=0.78. Reply provides safe, grounded assistance."
1481446,FIX IT FIX IT @115888  😭😭💔💔 https://t.co/uhUG18a5y1,playback_and_app_issues,Hey there! We'd be happy to look into this for you. Can you let us know what device and Spotify version you're using? Feel free to send us a DM if you'd prefer to share account details privately.,"case_11531,case_35968",0.83,3.0,4.5,3.5,4.5,5.0,4.1,PASS,False,True,"Evaluated with MockJudge: Relevance=3.0, Groundedness=4.5, TopSim=0.83. Reply provides safe, grounded assistance."
1241244,@SpotifyCares Yes. I did. It was an ad for UNH,ads_and_privacy,Hey there! We'd be happy to look into this for you. Can you let us know what device and Spotify version you're using? Feel free to send us a DM if you'd prefer to share account details privately.,"case_04028,case_34011",0.6496,3.0,4.0,3.5,4.5,5.0,4.0,PASS,False,True,"Evaluated with MockJudge: Relevance=3.0, Groundedness=4.0, TopSim=0.65. Reply provides safe, grounded assistance."
76246,@SpotifyCares @115888 I’m unable to access my premium account please help,account_and_login,"Hey! Help is here. If you're having trouble accessing your account, please send us a DM with the email address linked to your Spotify account so we can help you regain access securely.","case_11418,case_40370",0.898,5.0,4.5,3.5,4.5,5.0,4.5,PASS,False,True,"Evaluated with MockJudge: Relevance=5.0, Groundedness=4.5, TopSim=0.90. Reply provides safe, grounded assistance."
2201071,@SpotifyCares I already tried that one but I still can't pay even though I have enough load to pay for the subscription 😕 It always says tht something went wrong; it's already been 3 days https://t.co/qxn01H2ucj,playback_and_app_issues,Hey there! Thanks for reaching out. Let us know how we can help you out today!,"case_07876,case_14736",0.8292,3.0,4.5,3.5,4.0,5.0,4.0,PASS,False,True,"Evaluated with MockJudge: Relevance=3.0, Groundedness=4.5, TopSim=0.83. Reply provides safe, grounded assistance."
