tweet_id,customer_text,true_intent,predicted_intent,margin_confidence,top_2_intent,top_2_confidence,top_3_intent,top_3_confidence
798531,"@SpotifyCares I have spotify on my mobile, ipad, and desktop. Why do I need to log out if I am the only one using these devices? I have done it before 1/2",account_and_login,other_non_actionable,0.1221,account_and_login,0.1037,billing_and_payment,0.0998
776162,"@SpotifyCares Used CDBaby to distribute with you.They say it's been delivered to you, but it's not up on our artist page yet. Any ideas? Release date 2day",music_availability,other_non_actionable,0.1147,billing_and_payment,0.11,music_availability,0.1055
1981078,"I want my @115888 account to have a profile picture, but can’t-cause I don’t have a Facebook. Boo.",feature_requests,account_and_login,0.1458,feature_requests,0.1103,premium_and_subscription,0.1075
1989806,@115888 Please bring Spotify to India. I need a good streaming platform and a good platform to upload my music too. Please. ❤️,feature_requests,other_non_actionable,0.1251,account_and_login,0.1089,playback_and_app_issues,0.1039
319860,"@SpotifyCares I replied to the DM and then didn't get a reply again, tried Spotify again and got the same issue going on, are you going to help?",playback_and_app_issues,premium_and_subscription,0.1342,other_non_actionable,0.1253,billing_and_payment,0.099
1933316,this song isnt on spotify and nobody will give me a straight answer as to why https://t.co/IH5k93Lkmy,music_availability,playback_and_app_issues,0.1329,premium_and_subscription,0.1116,feature_requests,0.0985
1309665,@SpotifyCares I was just looking more carefully.  I bet 90% of my saved songs are gone.   Damn it so frustrating.,playlist_and_library,playback_and_app_issues,0.1216,feature_requests,0.1112,premium_and_subscription,0.1051
2913779,"So @115888 is down, and there's nothing to keep me sane for the rest of the work day #NoMusicNoLife",playback_and_app_issues,feature_requests,0.1239,content_metadata,0.1144,playback_and_app_issues,0.1141
2201071,@SpotifyCares I already tried that one but I still can't pay even though I have enough load to pay for the subscription 😕 It always says tht something went wrong; it's already been 3 days https://t.co/qxn01H2ucj,billing_and_payment,playback_and_app_issues,0.1499,premium_and_subscription,0.1452,billing_and_payment,0.1093
773112,@118266 pembayaran premium pelajar cuma bisa kartu kredit atau nanti bisa via lain?,premium_and_subscription,other_non_actionable,0.1346,billing_and_payment,0.0996,music_availability,0.095
772043,@SpotifyCares Did spotify crash? Hasn't worked all day.,playback_and_app_issues,billing_and_payment,0.1487,other_non_actionable,0.1391,premium_and_subscription,0.0967
328661,@SpotifyCares Low power mode is working for now. Will do a complete device reset after I can it up and reach back out.,other_non_actionable,playback_and_app_issues,0.156,playlist_and_library,0.1076,account_and_login,0.1037
1520000,@SpotifyCares Well it stopped after I tweeted you...🤔🤔🤔,playback_and_app_issues,other_non_actionable,0.191,billing_and_payment,0.1065,playback_and_app_issues,0.097
2045157,@115888 @SpotifyCares what about the starvation of ideas and enhancement suggestions from years ago?,feature_requests,content_metadata,0.1618,premium_and_subscription,0.112,account_and_login,0.1029
2041036,"@SpotifyCares When you listen to songs on radio such as a song radio, does it count toward getting a new daily mix?",search_and_discovery,playback_and_app_issues,0.1976,feature_requests,0.0983,account_and_login,0.0967
845907,"@SpotifyCares Jon Foreman’s listing is missing his Wonderland’s albums. If you search them, they are there.",content_metadata,search_and_discovery,0.1159,other_non_actionable,0.1094,billing_and_payment,0.1084
93911,@115888 Mentioned at first 9 pesos then after a while became 128 pesos then I tried to load my phone 130 pesos then suddenly contact customer service.,billing_and_payment,other_non_actionable,0.1498,premium_and_subscription,0.1254,playback_and_app_issues,0.0993
1476571,@SpotifyCares I was taken off of spotify student but never sent an email. Plus I can't access hulu.,premium_and_subscription,account_and_login,0.1456,billing_and_payment,0.1265,premium_and_subscription,0.0974
588859,@SpotifyCares @259179 Will there be a fix that automatically cleans up the mess you caused? I am not willing to make any changes manually. It's your task to release a fix.,playlist_and_library,feature_requests,0.1378,playback_and_app_issues,0.1281,content_metadata,0.1024
2312895,"I wish @115888 didn’t skip/scratch/loop with every song I played on the new IOS Beta... minor glitches just annoying, trying to jam out!",playback_and_app_issues,premium_and_subscription,0.1634,playback_and_app_issues,0.0989,account_and_login,0.0944
964110,@115888 is it down? It keeps saying service not available on my desktop #help,playback_and_app_issues,music_availability,0.2094,premium_and_subscription,0.0929,playback_and_app_issues,0.0924
367630,"@SpotifyCares hey, have just sent you a DM re payment",billing_and_payment,other_non_actionable,0.1951,billing_and_payment,0.1673,playlist_and_library,0.0804
1481446,FIX IT FIX IT @115888  😭😭💔💔 https://t.co/uhUG18a5y1,other_non_actionable,playback_and_app_issues,0.151,other_non_actionable,0.1105,premium_and_subscription,0.1057
2912468,@SpotifyCares account was hacked and resolved but all my playlists are gone.,account_and_login,playlist_and_library,0.2411,premium_and_subscription,0.1066,account_and_login,0.092
2586490,@SpotifyCares Our label has already emailed about this problem last week and hasn't gotten a response,other_non_actionable,playlist_and_library,0.1406,billing_and_payment,0.1088,playback_and_app_issues,0.1021
816277,"Highly considering going back to @115888 but I have some beef to sort out with them, first. :/",other_non_actionable,premium_and_subscription,0.1098,other_non_actionable,0.1084,billing_and_payment,0.0962
544566,@115888 @117168 @SpotifyCares @117153 can we get an update with a sleep timer function? Where we can set it so music will stop playing and not run all night???,feature_requests,premium_and_subscription,0.1497,playback_and_app_issues,0.1294,feature_requests,0.1165
