tweet_id,text,predicted_intent,intent_confidence,top_retrieval_similarity,grounding_status,predicted_decision,predicted_risk,predicted_reason,primary_rule,human_decision,human_risk,human_notes
1650404,"@SpotifyCares I'm having trouble getting into my Spotify premium account under the name Ed Ledsham, username carrioncrow",account_and_login,0.3303,0.7986,grounded,auto_handle,low,"Auto-handled because the intent is confident ('account_and_login' @ 0.33), relevant historical cases were retrieved (top similarity 0.80), and the generated reply is grounded in the retrieved evidence.",A1,,,
2854391,@SpotifyCares my account email is  __email__ but according to the password reset it don't exist,account_and_login,0.3696,0.7842,grounded,escalate,high,Escalated because sensitive account or security credentials/access issue ('password') requires secure human verification.,E5,,,
2979789,@115888 continuing problem. Someone got into my account &amp; is using it. They also changed my account to a family plan. I’ve changed my FB password. What else can I do? @128511 @120330,account_and_login,0.34,0.755,grounded,escalate,high,Escalated because sensitive account or security credentials/access issue ('password') requires secure human verification.,E5,,,
1879422,Hello @115888 I am a paying premium user and do not expect neither want to see a waze popup every time I drive my car.,ads_and_privacy,0.3676,0.6761,grounded,auto_handle,low,"Auto-handled because the intent is confident ('ads_and_privacy' @ 0.37), relevant historical cases were retrieved (top similarity 0.68), and the generated reply is grounded in the retrieved evidence.",A1,,,
1241244,@SpotifyCares Yes. I did. It was an ad for UNH,ads_and_privacy,0.3708,0.6496,grounded,auto_handle,low,"Auto-handled because the intent is confident ('ads_and_privacy' @ 0.37), relevant historical cases were retrieved (top similarity 0.65), and the generated reply is grounded in the retrieved evidence.",A1,,,
2201071,@SpotifyCares I already tried that one but I still can't pay even though I have enough load to pay for the subscription 😕 It always says tht something went wrong; it's already been 3 days https://t.co/qxn01H2ucj,playback_and_app_issues,0.1499,0.8292,grounded,escalate,medium,"Escalated because intent confidence is below the configured threshold (0.15 < 0.20), so the system cannot reliably determine the customer's issue.",E1,,,
1408944,"@SpotifyCares spotify: Get spotify premium!
Also spotify: OOPS! YOUR CARD PROVIDER MAY HAVE A BAD DAY, TRY AGAIN LATER",billing_and_payment,0.2778,0.8139,grounded,auto_handle,low,"Auto-handled because the intent is confident ('billing_and_payment' @ 0.28), relevant historical cases were retrieved (top similarity 0.81), and the generated reply is grounded in the retrieved evidence.",A1,,,
1352471,@SpotifyCares why have I been charged 2 months in a row for premium when I’m part of Spotify family? 😑🙃,billing_and_payment,0.3136,0.855,grounded,auto_handle,low,"Auto-handled because the intent is confident ('billing_and_payment' @ 0.31), relevant historical cases were retrieved (top similarity 0.85), and the generated reply is grounded in the retrieved evidence.",A1,,,
2629104,Anyone know if there's a way to see on @115888 the exact date an album was released? All I can find is the year.,content_metadata,0.3176,0.7185,grounded,auto_handle,low,"Auto-handled because the intent is confident ('content_metadata' @ 0.32), relevant historical cases were retrieved (top similarity 0.72), and the generated reply is grounded in the retrieved evidence.",A1,,,
2720922,@SpotifyCares Hi.Sorry to bother you but you  currently have the wrong version of Body Electric on the Body Electric 4 track Single by The Sisters Of Mercy.It should be the '84 re-recording from the '84 https://t.co/Xce5DdZTSI have the '82 version.,content_metadata,0.3503,0.5304,grounded,auto_handle,low,"Auto-handled because the intent is confident ('content_metadata' @ 0.35), relevant historical cases were retrieved (top similarity 0.53), and the generated reply is grounded in the retrieved evidence.",A1,,,
1989806,@115888 Please bring Spotify to India. I need a good streaming platform and a good platform to upload my music too. Please. ❤️,other_non_actionable,0.1251,0.8255,grounded,escalate,medium,"Escalated because intent confidence is below the configured threshold (0.13 < 0.20), so the system cannot reliably determine the customer's issue.",E1,,,
374589,@SpotifyCares Premium. How do I upgrade to a Petty Premium that only plays Tom Petty? I don’t need any additional music (except maybe traveling Wilburys),feature_requests,0.2443,0.6078,grounded,auto_handle,low,Auto-handled because the customer is submitting a straightforward feature suggestion and received a grounded informational response.,E8,,,
1846864,@115888 greetings - is there a way to mark podcasts as listened to within the Spotify app?,feature_requests,0.243,0.8212,grounded,auto_handle,low,Auto-handled because the customer is submitting a straightforward feature suggestion and received a grounded informational response.,E8,,,
1914972,@230513 https://t.co/zK2C06PsE2 … BRING BACK THIS OPTION! #spotify #android,feature_requests,0.2009,0.779,grounded,auto_handle,low,Auto-handled because the customer is submitting a straightforward feature suggestion and received a grounded informational response.,E8,,,
567985,Does @115888 have artist old mixtapes on it or just albums ?,music_availability,0.3024,0.7177,grounded,auto_handle,low,"Auto-handled because the intent is confident ('music_availability' @ 0.30), relevant historical cases were retrieved (top similarity 0.72), and the generated reply is grounded in the retrieved evidence.",A1,,,
456853,Reputation still not available on spotify ph,music_availability,0.4133,0.9557,grounded,auto_handle,low,"Auto-handled because the intent is confident ('music_availability' @ 0.41), relevant historical cases were retrieved (top similarity 0.96), and the generated reply is grounded in the retrieved evidence.",A1,,,
