tweet_id,query_text,rank,retrieved_case_id,retrieved_customer_text,retrieved_support_text,similarity,relevance_label,notes
115911,I was charged twice for Spotify Premium subscription this month. Can I get a refund?,1,case_16893,@115888 I was charged 3 times for Spotify premium and I still don’t have premium and it’s been a day and my money hasn’t been refunded,@440680 Hey there! Can you DM us your account's email address? We'll take a look /RB https://t.co/ldFdZRiNAt,0.8893,relevant,Direct semantic match (sim=0.889). Spotify response offers relevant resolution steps.
115911,I was charged twice for Spotify Premium subscription this month. Can I get a refund?,2,case_20831,@SpotifyCares Can I get my money back if I was charged for spotify premium for the month yesterday?,@529319 Hey there! Can you DM us your account's username and email address? We'll take a look backstage /TF https://t.co/ldFdZRiNAt,0.8714,relevant,Direct semantic match (sim=0.871). Spotify response offers relevant resolution steps.
115911,I was charged twice for Spotify Premium subscription this month. Can I get a refund?,3,case_36993,"@SpotifyCares I didn't realize that I was paying monthly for Spotify Premium as I thought I was a member of a family premium plan, but turns out I was paying for my own Premium for no reason for a year now and I just realized today. Is there anything I can do to get a refund?",@766707 Hey there! We've just sent a DM your way. Let's carry on chatting there /AK,0.8666,relevant,Direct semantic match (sim=0.867). Spotify response offers relevant resolution steps.
115915,Payment failed on my card but my bank account says money was deducted,1,case_06825,@SpotifyCares I got charged for a student account on my card but I'm still getting messages that my payment has failed? :( not sure what's going on,"@251958 Hey Jack, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG https://t.co/ldFdZRiNAt",0.6988,partially_relevant,Topical overlap (sim=0.699). Addresses related domain or workflow with slight variation.
115915,Payment failed on my card but my bank account says money was deducted,2,case_04441,@SpotifyCares hey i have a problem with the payment  with my credit card can you help me ?,@199965 Hi Alex! We've just sent a DM your way. Let's carry on chatting there /MT,0.6699,partially_relevant,Topical overlap (sim=0.670). Addresses related domain or workflow with slight variation.
115915,Payment failed on my card but my bank account says money was deducted,3,case_35151,Hi @116130 the app is telling me payment details have failed yet my account was debited by you 3 days ago?,@208396 Hey! The cavalry's here. Can you DM us your account's username or email address? We'll take a look under the hood /JS https://t.co/ldFdZRiNAt,0.6667,partially_relevant,Topical overlap (sim=0.667). Addresses related domain or workflow with slight variation.
115920,How do I update my billing credit card details?,1,case_24387,@SpotifyCares I need to update my payment info with my new card # but I can’t do it if I’m going to get charged that much,"@569922 1: Hi Susannah! Help's here. You can still pay for Premium monthly. Can you DM us your account's username or email address? https://t.co/ldFdZRiNAt
@569922 2: We'll take a look. If you could include a screenshot of how the checkout page looks like from your end, that'll be helpful too /CP",0.7881,relevant,Direct semantic match (sim=0.788). Spotify response offers relevant resolution steps.
115920,How do I update my billing credit card details?,2,case_25805,@SpotifyCares I can't update my payment details as i got a new card please can u help xx,"@584660 Hey Bethany! Could you send us some details about what's happening, along with any error messages you're seeing? We'll keep an eye out /MQ",0.7606,relevant,Direct semantic match (sim=0.761). Spotify response offers relevant resolution steps.
115920,How do I update my billing credit card details?,3,case_07330,@115888 How do i update my payment info? I don't see a way on the website.,@260319 Hi Ray! You should be able to do so by following the steps at https://t.co/BShdiBtHc4 /DV,0.7456,relevant,Direct semantic match (sim=0.746). Spotify response offers relevant resolution steps.
115855,i’m pissed my shuffle and repeat button just don’t fucking work and i’m getting frustrated,1,case_00004,i’m pissed my @115888 shuffle and repeat button just don’t fucking work and i’m getting frustrated,"@115887 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",1.0,relevant,Direct semantic match (sim=1.000). Spotify response offers relevant resolution steps.
115855,i’m pissed my shuffle and repeat button just don’t fucking work and i’m getting frustrated,2,case_03407,fix your shuffle button @115888,@177177 Hey there! This doesn't sound good. What issues are you having and on what device? We'll see what we can suggest 🙂 /CG,0.7837,relevant,Direct semantic match (sim=0.784). Spotify response offers relevant resolution steps.
115855,i’m pissed my shuffle and repeat button just don’t fucking work and i’m getting frustrated,3,case_21180,"@115888 needs to sort out the next button when it’s on shuffle, a don’t wanna listen to the same artist 5 times over  that’s why I shuffled n payed money for it",@534805 We’ve recently made some improvements to our shuffle algorithm. We’d love to hear your feedback here: https://t.co/T3vZnSL3od /BE,0.7546,relevant,Direct semantic match (sim=0.755). Spotify response offers relevant resolution steps.
115866,Music keeps pausing on my iPhone whenever the screen locks or goes black,1,case_10033,@SpotifyCares everytime i play music and lock my phone the songs either pause or skip. I've re downloaded app and still not helped any ideas? thanks!,"@315393 Hey Holly, help's here. Can you let us know the device, OS, and Spotify version you're using? We'll see what we can suggest /KL",0.7381,relevant,Direct semantic match (sim=0.738). Spotify response offers relevant resolution steps.
115866,Music keeps pausing on my iPhone whenever the screen locks or goes black,2,case_29037,"@115888 my music keeps skipping, pausing &amp; speeding through on my iPhone whenever listening through earbuds. Help.",@621547 Hey Roma! Can you let us know what iOS and version of Spotify you're using? We'll see what we can suggest /DR,0.72,relevant,Direct semantic match (sim=0.720). Spotify response offers relevant resolution steps.
115866,Music keeps pausing on my iPhone whenever the screen locks or goes black,3,case_03485,Oi @115888 whenever I lock my phone the music timer keeps freezing on ios11,@179240 Hi there! Can you let us know what version of Spotify you're using? We'll take a look under the hood /DN,0.7049,relevant,Direct semantic match (sim=0.705). Spotify response offers relevant resolution steps.
115870,Desktop app keeps crashing on Windows 10 upon startup,1,case_07637,"Hi @spotifycares the Windows 10 app freezes and crashes consistently on my PC. Resetting, uninstall/reinstall has not helped. Known issue?","@267252 Hey Tommy, that's not cool! Which Spotify app version are you running? Also, is this happening at any specific points (like during login, or while listening to music)? We'll see what we can suggest /WP",0.7455,relevant,Direct semantic match (sim=0.746). Spotify response offers relevant resolution steps.
